BrojPu,Naselje
10454,Čunkova Draga
10454,Dane
10454,Dol
10454,Donje Prekrižje
10454,Donji Oštrc
10454,Drašći Vrh
10454,Glušinja
10454,Golubići
10454,Gornja Kupčina
10454,Gornja Vas
10454,Gornje Prekrižje
10454,Gornji Oštrc
10454,Gračac Slavetićki
10454,Grgetići
10454,Grič
10454,Hartje
10454,Hrženik
10454,Hutin
10454,Javor
10454,Jezerine
10454,Jezernice
10454,Jurkovo Selo
10454,Kalje
10454,Konjarić Vrh
10454,Kordići Žumberački
10454,Kostanjevac
10454,Kostel Pribićki
10454,Krašić
10454,Krnežići
10454,Krupače
10454,Kučer
10454,Kupčina Žumberačka
10454,Kurpezova Gorica
10454,Markušići
10454,Medven Draga
10454,Mrzlo Polje Žumberačko
10454,Novo Selo Žumberačko
10454,Osredek Žumberački
10454,Osunja
10454,Pećno
10454,Pesak
10454,Petričko Selo
10454,Plavci
10454,Pribić
10454,Pribić Crkveni
10454,Prvinci
10454,Radina Gorica
10454,Radinovo Brdo
10454,Reštovo Žumberačko
10454,Rude Pribićke
10454,Sječevac
10454,Sopote
10454,Sošice
10454,Staničići Žumberački
10454,Stari Grad Žumberački
10454,Strmac Pribićki
10454,Stupe
10454,Svrževo
10454,Šimraki
10454,Tomaševci
10454,Tupčina
10454,Veliki Vrh
10454,Visoće
10454,Višći Vrh
10454,Vlašić Brdo
10454,Vranjak Žumberački
10454,Vukovo Brdo
10454,Vukšin Šipak
10454,Žamarija
10454,Željezno Žumberačko
10454,Žumberak
20000,Dubrovnik
20207,Bosanka
20207,Brašina
20207,Buići
20207,Čelopeci
20207,Čibača
20207,Donji Brgat
20207,Gornji Brgat
20207,Grbavac
20207,Kupari
20207,Makoše
20207,Mandaljena
20207,Martinovići
20207,Mlini
20207,Petrača
20207,Plat
20207,Soline
20207,Srebreno
20207,Zavrelje
20210,Brotnice
20210,Cavtat
20210,Duba Konavoska
20210,Jasenice
20210,Stravča
20210,Šilješki
20210,Uskoplje
20210,Zvekovica
20215,Čilipi
20215,Drvenik
20215,Dubravka
20215,Dunave
20215,Đurinići
20215,Gabrili
20215,Gruda
20215,Komaji
20215,Kuna Konavoska
20215,Lovorno
20215,Ljuta
20215,Mihanići
